epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1322.91,0.92416,0.71266,1.14354,0.75669,0.56487,0.64837,0.45753,1.29427,1.25331,1.44764,0.000612687,0.000612687,0.000612687
105,1335.52,0.88208,0.67432,1.11751,0.71744,0.60434,0.66197,0.46829,1.2917,1.23705,1.44486,0.0006065,0.0006065,0.0006065
106,1348.18,0.87396,0.64402,1.12356,0.79746,0.56739,0.66519,0.46561,1.31127,1.18323,1.44939,0.000600313,0.000600313,0.000600313
107,1360.7,0.90043,0.65257,1.12377,0.74997,0.60594,0.67097,0.46451,1.32324,1.30473,1.44026,0.000594125,0.000594125,0.000594125
108,1373.32,0.95549,0.74323,1.21799,0.74847,0.60391,0.67758,0.476,1.27785,1.25471,1.41491,0.000587938,0.000587938,0.000587938
109,1385.81,0.87582,0.64833,1.11134,0.8334,0.56567,0.67368,0.47241,1.26607,1.26674,1.40999,0.00058175,0.00058175,0.00058175
110,1398.4,0.93722,0.7203,1.17266,0.73125,0.59509,0.66228,0.46445,1.2841,1.3191,1.40686,0.000575563,0.000575563,0.000575563
111,1410.91,0.87618,0.65983,1.11398,0.76951,0.5708,0.66656,0.47033,1.28778,1.32648,1.4103,0.000569375,0.000569375,0.000569375
112,1423.48,0.88004,0.66215,1.10649,0.77025,0.59761,0.66403,0.47221,1.29069,1.20847,1.42811,0.000563187,0.000563187,0.000563187
113,1436.16,0.88492,0.65468,1.12127,0.79213,0.5576,0.64955,0.45639,1.32394,1.27254,1.46043,0.000557,0.000557,0.000557
114,1448.69,0.87764,0.66007,1.11701,0.74611,0.58566,0.66319,0.46931,1.2808,1.28064,1.41483,0.000550813,0.000550813,0.000550813
115,1461.19,0.89011,0.67336,1.11419,0.80687,0.54972,0.66081,0.46242,1.27901,1.22167,1.43282,0.000544625,0.000544625,0.000544625
116,1473.85,0.89128,0.6549,1.11984,0.75358,0.59421,0.66933,0.46595,1.31846,1.27062,1.44028,0.000538438,0.000538438,0.000538438
117,1486.39,0.86492,0.62919,1.11415,0.80345,0.57382,0.6822,0.48281,1.29321,1.24289,1.42937,0.00053225,0.00053225,0.00053225
118,1499.22,0.85069,0.64349,1.12459,0.68789,0.63044,0.66869,0.47465,1.29969,1.27778,1.42733,0.000526063,0.000526063,0.000526063
119,1511.76,0.82682,0.6346,1.09559,0.72058,0.59984,0.6783,0.48095,1.29441,1.19518,1.43536,0.000519875,0.000519875,0.000519875
120,1524.36,0.88449,0.66387,1.10938,0.75253,0.59987,0.67177,0.46984,1.29945,1.26185,1.43903,0.000513688,0.000513688,0.000513688
121,1536.91,0.86693,0.64227,1.10944,0.78778,0.58169,0.67113,0.47452,1.279,1.17851,1.43796,0.0005075,0.0005075,0.0005075
122,1549.41,0.86715,0.62784,1.11224,0.79888,0.56779,0.66478,0.46522,1.29953,1.18551,1.4425,0.000501313,0.000501313,0.000501313
123,1562.03,0.87036,0.62674,1.10646,0.80472,0.57967,0.67098,0.46902,1.28817,1.19671,1.44441,0.000495125,0.000495125,0.000495125
124,1574.78,0.84506,0.65258,1.10687,0.83193,0.55104,0.67618,0.47937,1.29078,1.21812,1.4431,0.000488938,0.000488938,0.000488938
125,1587.28,0.8496,0.62437,1.10889,0.74931,0.5833,0.66647,0.47765,1.2682,1.26148,1.3994,0.00048275,0.00048275,0.00048275
126,1599.93,0.82609,0.59526,1.09101,0.73903,0.57802,0.66852,0.48008,1.27076,1.23725,1.42296,0.000476562,0.000476562,0.000476562
127,1612.38,0.91272,0.70996,1.20849,0.73404,0.60024,0.68492,0.49294,1.27744,1.20885,1.44212,0.000470375,0.000470375,0.000470375
128,1624.93,0.87196,0.63186,1.10366,0.72004,0.6216,0.67202,0.47518,1.28449,1.20561,1.4087,0.000464188,0.000464188,0.000464188
129,1637.54,0.83918,0.62561,1.13245,0.76191,0.57358,0.66926,0.47675,1.2805,1.23006,1.43825,0.000458,0.000458,0.000458
130,1650.08,0.81913,0.59592,1.08375,0.86146,0.56095,0.66965,0.47609,1.28341,1.13698,1.42443,0.000451813,0.000451813,0.000451813
131,1662.62,0.82059,0.60355,1.09862,0.73462,0.61875,0.68097,0.48506,1.25617,1.20798,1.41447,0.000445625,0.000445625,0.000445625
132,1675.14,0.83983,0.61137,1.07919,0.76862,0.5518,0.66481,0.4685,1.27287,1.22949,1.42019,0.000439437,0.000439437,0.000439437
133,1687.55,0.86306,0.79121,1.09101,0.75246,0.58941,0.67229,0.47215,1.27872,1.15737,1.44384,0.00043325,0.00043325,0.00043325
134,1700.16,0.84755,0.64014,1.09646,0.75209,0.57759,0.66364,0.46039,1.30308,1.20524,1.46265,0.000427062,0.000427062,0.000427062
135,1712.75,0.80586,0.58489,1.07623,0.72986,0.58195,0.66282,0.45523,1.3128,1.30342,1.4593,0.000420875,0.000420875,0.000420875
136,1725.41,0.8202,0.59488,1.09416,0.68278,0.63008,0.6694,0.46459,1.31021,1.19024,1.47673,0.000414688,0.000414688,0.000414688
137,1737.86,0.83525,0.59231,1.09111,0.70443,0.63133,0.67789,0.48233,1.27544,1.1589,1.44623,0.0004085,0.0004085,0.0004085
138,1750.33,0.82507,0.59619,1.08488,0.76535,0.59432,0.66724,0.47158,1.28812,1.33227,1.45146,0.000402312,0.000402312,0.000402312
139,1762.93,0.82653,0.58816,1.09541,0.70415,0.62112,0.67057,0.46807,1.29827,1.27999,1.46112,0.000396125,0.000396125,0.000396125
140,1775.48,0.79617,0.55527,1.07077,0.78626,0.56336,0.67656,0.47641,1.28394,1.22357,1.42497,0.000389938,0.000389938,0.000389938
141,1788.05,0.80416,0.57771,1.0766,0.78971,0.57671,0.66943,0.47879,1.28704,1.19656,1.42793,0.00038375,0.00038375,0.00038375
142,1800.59,0.79466,0.66229,1.09842,0.74422,0.59133,0.66832,0.47158,1.2896,1.21931,1.4483,0.000377563,0.000377563,0.000377563
143,1813.14,0.79331,0.58998,1.08035,0.72611,0.59587,0.67189,0.47724,1.27575,1.19025,1.42688,0.000371375,0.000371375,0.000371375
144,1825.75,0.8484,0.60781,1.14808,0.81532,0.56968,0.68937,0.4823,1.27735,1.19916,1.44031,0.000365188,0.000365188,0.000365188
145,1838.23,0.80107,0.57913,1.08141,0.66963,0.65109,0.67551,0.46838,1.28549,1.21317,1.46066,0.000359,0.000359,0.000359
146,1850.79,0.78036,0.56908,1.07318,0.69959,0.60714,0.67238,0.47592,1.2862,1.1961,1.45603,0.000352812,0.000352812,0.000352812
147,1863.32,0.78906,0.58539,1.06642,0.74803,0.58491,0.66687,0.4725,1.313,1.2437,1.4729,0.000346625,0.000346625,0.000346625
