epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1190,0.98289,0.73998,1.17139,0.67574,0.65117,0.67318,0.47185,1.31945,1.22811,1.47204,0.0008705,0.0008705,0.0008705
94,1202.68,0.99704,0.75091,1.17244,0.77847,0.59459,0.67848,0.48401,1.2898,1.21156,1.42778,0.000866375,0.000866375,0.000866375
95,1215.41,0.93906,0.73178,1.14959,0.78092,0.5724,0.67131,0.46688,1.30064,1.26874,1.43296,0.00086225,0.00086225,0.00086225
96,1228.1,1.02158,0.8092,1.28384,0.76957,0.58909,0.65783,0.45473,1.32824,1.24663,1.44718,0.000858125,0.000858125,0.000858125
97,1240.84,0.96642,0.75129,1.16313,0.76228,0.59518,0.67676,0.47494,1.32941,1.227,1.44307,0.000854,0.000854,0.000854
98,1253.48,0.94833,0.71665,1.15883,0.73634,0.57443,0.67175,0.46332,1.33742,1.18166,1.4695,0.000849875,0.000849875,0.000849875
99,1266.09,0.93376,0.72615,1.14994,0.69543,0.65079,0.68636,0.47045,1.29501,1.21721,1.4244,0.00084575,0.00084575,0.00084575
100,1278.93,0.92921,0.69228,1.1477,0.81122,0.56503,0.6865,0.47901,1.32577,1.21756,1.45297,0.000841625,0.000841625,0.000841625
101,1291.49,0.93958,0.74094,1.15988,0.77843,0.59392,0.68436,0.46945,1.29338,1.27172,1.4557,0.0008375,0.0008375,0.0008375
102,1304.23,0.96693,0.73308,1.16449,0.82237,0.58354,0.67819,0.475,1.27019,1.25833,1.42023,0.000833375,0.000833375,0.000833375
103,1316.81,0.91313,0.68567,1.13139,0.75445,0.58225,0.67868,0.47168,1.30546,1.21501,1.46016,0.00082925,0.00082925,0.00082925
104,1329.46,0.96432,0.74059,1.17294,0.73426,0.59299,0.66521,0.459,1.33197,1.29415,1.46409,0.000825125,0.000825125,0.000825125
105,1342.14,0.90933,0.70993,1.13652,0.721,0.58915,0.67046,0.45733,1.36456,1.23933,1.50561,0.000821,0.000821,0.000821
106,1354.79,0.90356,0.67772,1.13912,0.78668,0.59943,0.68559,0.4796,1.31907,1.14214,1.45501,0.000816875,0.000816875,0.000816875
107,1367.35,0.92731,0.69093,1.14369,0.81498,0.56531,0.6844,0.48692,1.2813,1.1769,1.42889,0.00081275,0.00081275,0.00081275
108,1380.08,0.96289,0.76353,1.18359,0.76902,0.58485,0.68491,0.4763,1.31483,1.22304,1.46155,0.000808625,0.000808625,0.000808625
109,1392.66,0.90821,0.67427,1.13139,0.73971,0.59575,0.66613,0.47453,1.28717,1.24403,1.44001,0.0008045,0.0008045,0.0008045
110,1405.36,0.9614,0.77273,1.18714,0.75368,0.59392,0.67429,0.46801,1.31157,1.20497,1.46877,0.000800375,0.000800375,0.000800375
111,1418,0.91277,0.71705,1.132,0.81382,0.57593,0.68651,0.48038,1.29786,1.16488,1.44393,0.00079625,0.00079625,0.00079625
112,1430.66,0.89782,0.69153,1.1225,0.76689,0.59033,0.67097,0.46337,1.29129,1.16057,1.44756,0.000792125,0.000792125,0.000792125
113,1443.27,0.92116,0.69381,1.14447,0.74483,0.59868,0.68165,0.47002,1.29966,1.15606,1.43562,0.000788,0.000788,0.000788
114,1455.91,0.91453,0.71323,1.13711,0.72672,0.62006,0.67808,0.45427,1.3235,1.26647,1.45715,0.000783875,0.000783875,0.000783875
115,1468.57,0.93105,0.70558,1.13705,0.79082,0.56952,0.66924,0.46279,1.32161,1.19786,1.4456,0.00077975,0.00077975,0.00077975
116,1481.22,0.92416,0.68615,1.13717,0.64893,0.63058,0.65926,0.45665,1.31403,1.25316,1.44293,0.000775625,0.000775625,0.000775625
117,1493.8,0.8806,0.65301,1.12716,0.7235,0.59574,0.66956,0.45871,1.30514,1.22768,1.44642,0.0007715,0.0007715,0.0007715
118,1506.43,0.88284,0.69316,1.14289,0.76905,0.59178,0.67329,0.46824,1.29243,1.22973,1.4667,0.000767375,0.000767375,0.000767375
119,1519.13,0.87193,0.66245,1.12719,0.74424,0.60806,0.67147,0.46603,1.31112,1.23139,1.45321,0.00076325,0.00076325,0.00076325
120,1531.75,0.93474,0.69531,1.13766,0.82238,0.57275,0.68839,0.48328,1.30486,1.15156,1.45485,0.000759125,0.000759125,0.000759125
121,1544.27,0.90889,0.68006,1.12898,0.78785,0.58668,0.67849,0.47752,1.31232,1.20385,1.4559,0.000755,0.000755,0.000755
122,1556.98,0.90281,0.66678,1.13783,0.71187,0.6055,0.68011,0.47967,1.30492,1.22314,1.43025,0.000750875,0.000750875,0.000750875
123,1569.58,0.9056,0.67567,1.1335,0.74999,0.61703,0.67587,0.47962,1.30605,1.17243,1.46396,0.00074675,0.00074675,0.00074675
124,1582.13,0.86975,0.69877,1.1195,0.77426,0.56186,0.67244,0.46522,1.31753,1.24335,1.45116,0.000742625,0.000742625,0.000742625
125,1594.95,0.88882,0.6576,1.12859,0.7886,0.55586,0.67004,0.46426,1.31742,1.25042,1.47488,0.0007385,0.0007385,0.0007385
126,1607.51,0.86378,0.6408,1.115,0.78743,0.57249,0.67343,0.46996,1.30379,1.21623,1.47591,0.000734375,0.000734375,0.000734375
127,1620.2,0.93553,0.71618,1.19774,0.80901,0.57672,0.67272,0.46975,1.30844,1.18871,1.46725,0.00073025,0.00073025,0.00073025
128,1633.02,0.91921,0.66621,1.12525,0.81929,0.55064,0.68015,0.47598,1.28243,1.22378,1.43249,0.000726125,0.000726125,0.000726125
129,1645.6,0.88792,0.65627,1.16935,0.80871,0.57747,0.6773,0.46888,1.30367,1.20609,1.42925,0.000722,0.000722,0.000722
130,1658.34,0.85661,0.6364,1.10875,0.8493,0.5799,0.66451,0.46331,1.31082,1.20373,1.44585,0.000717875,0.000717875,0.000717875
131,1670.93,0.86676,0.65369,1.12217,0.76031,0.58131,0.66798,0.46822,1.31102,1.26525,1.48849,0.00071375,0.00071375,0.00071375
132,1683.58,0.88135,0.63836,1.10156,0.67754,0.62175,0.67074,0.46971,1.29751,1.20145,1.43778,0.000709625,0.000709625,0.000709625
133,1696.21,0.89139,0.78547,1.1138,0.69883,0.63161,0.67323,0.46401,1.30832,1.24966,1.48195,0.0007055,0.0007055,0.0007055
134,1708.9,0.87653,0.64377,1.10978,0.78826,0.57088,0.67021,0.45987,1.30622,1.2903,1.48698,0.000701375,0.000701375,0.000701375
135,1721.51,0.85012,0.62899,1.10227,0.73394,0.59663,0.66888,0.46345,1.29485,1.32371,1.45453,0.00069725,0.00069725,0.00069725
136,1734.22,0.86233,0.63926,1.11737,0.76051,0.59047,0.67486,0.4821,1.29184,1.26428,1.45129,0.000693125,0.000693125,0.000693125
137,1746.8,0.8708,0.63659,1.11213,0.71505,0.60451,0.66635,0.47639,1.31064,1.24317,1.47965,0.000689,0.000689,0.000689
138,1759.5,0.8618,0.63374,1.10963,0.79697,0.57171,0.67385,0.46656,1.30255,1.20725,1.4442,0.000684875,0.000684875,0.000684875
139,1772.07,0.87579,0.62541,1.12327,0.69933,0.6398,0.66891,0.46655,1.31296,1.21256,1.45125,0.00068075,0.00068075,0.00068075
140,1784.76,0.8304,0.59386,1.08933,0.73567,0.62488,0.68248,0.48568,1.28706,1.20615,1.43667,0.000676625,0.000676625,0.000676625
141,1797.48,0.85916,0.6151,1.11209,0.76109,0.5961,0.67462,0.48161,1.28033,1.2722,1.43436,0.0006725,0.0006725,0.0006725
